class_name	true_positives	false_positives	false_negatives	true_negatives	sensitivity	specificity	precision	accuracy	f1_score	roc_auc	pr_auc	class_weight	model_id	model_class	memory_size	epoch	study_name	trial_number	trial_params	performance
Plastid	78	7	13	1580	0.857142857142857	0.995589161940769	0.917647058823529	0.9880810488677	0.886363636363636	0.983693055526704	0.935117151725556	1.84395604395604	AvgPoolMLP_89cf8b94-ee9a-4a13-bea8-fdc7eab61dae	AvgPoolMLP	1185.99322891235	4	AvgPoolMLP	13	"[[""""reduced_seq_len"""", 30], [""""layer_size_percentage"""", 0.3], [""""num_layers"""", 3]]"	0.77163733169121
Average	1371	307	307	-1	0.728411850132992	0.989662317982984	0.761011436848606	0.728411850132992	0.72562783353544	0.94154811230047	0.695020167666669	NA	AvgPoolMLP_89cf8b94-ee9a-4a13-bea8-fdc7eab61dae	AvgPoolMLP	1185.99322891235	4	AvgPoolMLP	13	"[[""""reduced_seq_len"""", 30], [""""layer_size_percentage"""", 0.3], [""""num_layers"""", 3]]"	0.77163733169121
Cell_membrane	119	24	42	1493	0.739130434782609	0.984179301252472	0.832167832167832	0.960667461263409	0.782894736842105	0.964231463701241	0.847774322241119	1.04223602484472	MaxPoolMLP_2b7c1798-bcf6-4d24-8b49-440ba6205df3	MaxPoolMLP	1185.99322891235	18	MaxPoolMLP	13	"[[""""reduced_seq_len"""", 30], [""""layer_size_percentage"""", 0.3], [""""num_layers"""", 3]]"	0.731370105694654
Cytoplasm	230	146	69	1233	0.769230769230769	0.894126178390138	0.611702127659574	0.871871275327771	0.681481481481481	0.918044436252337	0.693268086534012	0.561204013377926	MaxPoolMLP_2b7c1798-bcf6-4d24-8b49-440ba6205df3	MaxPoolMLP	1185.99322891235	18	MaxPoolMLP	13	"[[""""reduced_seq_len"""", 30], [""""layer_size_percentage"""", 0.3], [""""num_layers"""", 3]]"	0.731370105694654
Endoplasmic_reticulum	64	30	31	1553	0.673684210526316	0.98104864181933	0.680851063829787	0.963647199046484	0.677248677248677	0.951105495893872	0.722354826286347	1.76631578947368	MaxPoolMLP_2b7c1798-bcf6-4d24-8b49-440ba6205df3	MaxPoolMLP	1185.99322891235	18	MaxPoolMLP	13	"[[""""reduced_seq_len"""", 30], [""""layer_size_percentage"""", 0.3], [""""num_layers"""", 3]]"	0.731370105694654
Extracellular	230	9	13	1426	0.946502057613169	0.993728222996516	0.96234309623431	0.98688915375447	0.954356846473029	0.997611161296798	0.988510864314394	0.690534979423868	MaxPoolMLP_2b7c1798-bcf6-4d24-8b49-440ba6205df3	MaxPoolMLP	1185.99322891235	18	MaxPoolMLP	13	"[[""""reduced_seq_len"""", 30], [""""layer_size_percentage"""", 0.3], [""""num_layers"""", 3]]"	0.731370105694654
Golgi_apparatus	20	12	28	1618	0.416666666666667	0.992638036809816	0.625	0.976162097735399	0.5	0.931684560327198	0.553378681350522	3.49583333333333	MaxPoolMLP_2b7c1798-bcf6-4d24-8b49-440ba6205df3	MaxPoolMLP	1185.99322891235	18	MaxPoolMLP	13	"[[""""reduced_seq_len"""", 30], [""""layer_size_percentage"""", 0.3], [""""num_layers"""", 3]]"	0.731370105694654
Lysosome_Vacuole	13	17	29	1619	0.30952380952381	0.98960880195599	0.433333333333333	0.972586412395709	0.361111111111111	0.936357550355105	0.41961603103639	3.99523809523809	MaxPoolMLP_2b7c1798-bcf6-4d24-8b49-440ba6205df3	MaxPoolMLP	1185.99322891235	18	MaxPoolMLP	13	"[[""""reduced_seq_len"""", 30], [""""layer_size_percentage"""", 0.3], [""""num_layers"""", 3]]"	0.731370105694654
Mitochondrion	177	36	23	1442	0.885	0.975642760487145	0.830985915492958	0.964839094159714	0.857142857142857	0.981302435723951	0.936388322929363	0.839	MaxPoolMLP_2b7c1798-bcf6-4d24-8b49-440ba6205df3	MaxPoolMLP	1185.99322891235	18	MaxPoolMLP	13	"[[""""reduced_seq_len"""", 30], [""""layer_size_percentage"""", 0.3], [""""num_layers"""", 3]]"	0.731370105694654
Nucleus	400	58	76	1144	0.840336134453782	0.951747088186356	0.873362445414847	0.920143027413588	0.856531049250535	0.97048162026874	0.914927932075941	0.352521008403361	MaxPoolMLP_2b7c1798-bcf6-4d24-8b49-440ba6205df3	MaxPoolMLP	1185.99322891235	18	MaxPoolMLP	13	"[[""""reduced_seq_len"""", 30], [""""layer_size_percentage"""", 0.3], [""""num_layers"""", 3]]"	0.731370105694654
